Comparación 1 a 1 de tokens de la colección Vaswani:
Stems iguales: 7128 | Stems diferentes: 5061
------------------------------------------------------------------------------------------
Token                     Porter               Lancaster           
insoc                     insoc                insoc               
inspection                inspect              inspect             
inst                      inst                 inst                
instabilities             instabl              inst                
instability               instabl              inst                
installation              instal               instal              
installations             instal               instal              
installed                 instal               instal              
instananeous              instanan             inst                
instances                 instanc              inst                
instant                   instant              inst                
instantaneous             instantan            inst                
instantaneously           instantan            inst                
instants                  instant              inst                
instead                   instead              instead             
institute                 institut             institut            
instituted                institut             institut            
institution               institut             institut            
instruction               instruct             instruct            
instructions              instruct             instruct            
instrument                instrument           instru              
instrumental              instrument           instru              
instrumentation           instrument           instru              
instrumented              instrument           instru              
instrumenting             instrument           instru              
instruments               instrument           instru              
insufficient              insuffici            insufficy           
insufficiently            insuffici            insufficy           
insulated                 insul                ins                 
insulating                insul                ins                 
insulation                insul                ins                 
insulator                 insul                ins                 
insulators                insul                ins                 
insulting                 insult               insult              
inteferometer             inteferomet          inteferomet         
integegro                 integegro            integegro           
integer                   integ                integ               
integers                  integ                integ               
integrable                integr               integr              
integral                  integr               integr              
integrals                 integr               integr              
integrand                 integrand            integrand           
integrated                integr               integr              
integrating               integr               integr              
integration               integr               integr              
integrator                integr               integr              
integrators               integr               integr              
integrid                  integrid             integrid            
integro                   integro              integro             
intelligibility           intellig             intellig            
intended                  intend               intend              
intense                   intens               intens              
intensities               intens               intens              
intensity                 intens               intens              
inteplanetary             inteplanetari        inteplanet          
inter                     inter                int                 
interace                  interac              interac             
interact                  interact             interact            
interacting               interact             interact            
interaction               interact             interact            
interactions              interact             interact            
interacts                 interact             interact            
interband                 interband            interband           
intercepted               intercept            interceiv           
interception              intercept            interceiv           
interchange               interchang           interchang          
interchangeability        interchang           interchang          
interchangeable           interchang           interchang          
interchanging             interchang           interchang          
intercloud                intercloud           intercloud          
intercommunication        intercommun          intercommun         
interconnected            interconnect         interconnect        
interconnecting           interconnect         interconnect        
interconnection           interconnect         interconnect        
interconnections          interconnect         interconnect        
interdependence           interdepend          interdepend         
interdiffusion            interdiffus          interdiffus         
interelectrode            interelectrod        interelectrod       
interelectron             interelectron        interelectron       
interest                  interest             interest            
interesting               interest             interest            
interface                 interfac             interfac            
interference              interfer             interf              
interfering               interf               interf              
interferometer            interferomet         interferomet        
interferometers           interferomet         interferomet        
interferometric           interferometr        interferomet        
interferometry            interferometri       interferometry      
interim                   interim              interim             
interior                  interior             intery              
interlacing               interlac             interlac            
interlectrode             interlectrod         interlectrod        
interlinking              interlink            interlink           
interlocked               interlock            interlock           
intermediary              intermediari         intermedy           
intermediate              intermedi            intermedy           
intermittent              intermitt            intermit            
intermittently            intermitt            intermit            
intermodulation           intermodul           intermod            
internal                  intern               intern              
internally                intern               intern              
international             intern               intern              
internationale            international        intern              
internuclear              internuclear         internuclear        
interparticle             interparticl         interpartic         
interpenetrating          interpenetr          interpenet          
interpenetration          interpenetr          interpenet          
interplanetary            interplanetari       interplanet         
interpolated              interpol             interpol            
interpolating             interpol             interpol            
interpolation             interpol             interpol            
interpolator              interpol             interpol            
interposed                interpos             interpos            
interpret                 interpret            interpret           
interpretation            interpret            interpret           
interpretations           interpret            interpret           
interpreted               interpret            interpret           
interpreting              interpret            interpret           
interpretive              interpret            interpret           
interprets                interpret            interpret           
interrelated              interrel             interrel            
interrelation             interrel             interrel            
interrelations            interrel             interrel            
interrogation             interrog             interrog            
interrogative             interrog             interrog            
interrupt                 interrupt            interrupt           
interrupted               interrupt            interrupt           
interruption              interrupt            interrupt           
intersect                 intersect            intersect           
intersecting              intersect            intersect           
intersection              intersect            intersect           
intersections             intersect            intersect           
intersects                intersect            intersect           
interspacing              interspac            interspac           
interspersed              interspers           interspers          
interspersing             interspers           interspers          
interstage                interstag            interst             
interstages               interstag            interst             
interstellar              interstellar         interstell          
interstitials             interstiti           interstit           
interstroke               interstrok           interstrok          
interval                  interv               interv              
intervals                 interv               interv              
intervalve                intervalv            intervalv           
intervening               interven             interv              
interwinding              interwind            interwind           
intive                    intiv                int                 
into                      into                 into                
intoractions              intoract             intoract            
intra                     intra                intr                
intracloud                intracloud           intracloud          
intralayer                intralay             intralay            
intricate                 intric               int                 
intrinsic                 intrins              intrins             
intrinsically             intrins              intrins             
introduce                 introduc             introduc            
introduced                introduc             introduc            
introduces                introduc             introduc            
introducing               introduc             introduc            
introduction              introduct            introduc            
introductory              introductori         introduc            
intuitive                 intuit               intuit              
inun                      inun                 inun                
invalid                   invalid              invalid             
invalidates               invalid              invalid             
invar                     invar                inv                 
invariably                invari               invary              
invariance                invari               inv                 
invariances               invari               inv                 
invariant                 invari               inv                 
invercargill              invercargil          invercargil         
inverness                 inver                inv                 
inverse                   invers               invers              
inversely                 invers               invers              
inverses                  invers               invers              
inversion                 invers               invert              
inversions                invers               invert              
invert                    invert               invert              
inverted                  invert               invert              
inverter                  invert               invert              
inverters                 invert               invert              
inverting                 invert               invert              
invertors                 invertor             invert              
inverts                   invert               invert              
investigate               investig             investig            
investigated              investig             investig            
investigating             investig             investig            
investigation             investig             investig            
investigations            investig             investig            
investigators             investig             investig            
invisible                 invis                invis               
invited                   invit                invit               
invoke                    invok                invok               
invoking                  invok                invok               
involve                   involv               involv              
involved                  involv               involv              
involves                  involv               involv              
involving                 involv               involv              
inward                    inward               inward              
inwards                   inward               inward              
io                        io                   io                  
iodide                    iodid                iodid               
iodine                    iodin                iodin               
ioffe                     ioff                 ioff                
ion                       ion                  ion                 
ionic                     ionic                ion                 
ionically                 ionic                ion                 
ionics                    ionic                ion                 
ioniging                  ionig                ionig               
ionisation                ionis                ion                 
ionizable                 ioniz                ion                 
ionization                ioniz                ion                 
ionizations               ioniz                ion                 
ionize                    ioniz                ion                 
ionized                   ioniz                ion                 
ionizing                  ioniz                ion                 
ionogram                  ionogram             ionogram            
ionograms                 ionogram             ionogram            
ionosonde                 ionosond             ionosond            
ionosondes                ionosond             ionosond            
ionosphere                ionospher            ionosph             
ionospheric               ionospher            ionosph             
ionospherically           ionospher            ionosph             
ionospherics              ionospher            ionosph             
ionospherique             ionospheriqu         ionospher           
ionrsphere                ionrspher            ionrsph             
ions                      ion                  ion                 
iota                      iota                 iot                 
iples                     ipl                  ipl                 
ir                        ir                   ir                  
ircui                     ircui                ircu                
ire                       ire                  ir                  
ireland                   ireland              ireland             
irerative                 irer                 ir                  
iris                      iri                  ir                  
irises                    iris                 ir                  
irkutsk                   irkutsk              irkutsk             
iron                      iron                 iron                
irradiated                irradi               irrady              
irradiating               irradi               irrady              
irradiation               irradi               irrady              
irrational                irrat                ir                  
irreconcilable            irreconcil           irreconcil          
irredundant               irredund             irredund            
irregular                 irregular            irregul             
irregularities            irregular            irregul             
irregularity              irregular            irregul             
irrespective              irrespect            irrespect           
irreversibility           irrevers             irrevers            
irreversible              irrevers             irrevers            
irrotational              irrot                irrot               
is                        is                   is                  
isabel                    isabel               isabel              
ise                       ise                  is                  
isechasms                 isechasm             isechasm            
ising                     ise                  is                  
isl                       isl                  isl                 
island                    island               island              
islands                   island               island              
isles                     isl                  isl                 
iso                       iso                  iso                 
isobar                    isobar               isob                
isochasms                 isochasm             isochasm            
isocline                  isoclin              isoclin             
isodyne                   isodyn               isodyn              
isoelastic                isoelast             isoelast            
isoelectronic             isoelectron          isoelectron         
isograph                  isograph             isograph            
isoinic                   isoin                isoin               
isolate                   isol                 isol                
isolated                  isol                 isol                
isolates                  isol                 isol                
isolating                 isol                 isol                
isolation                 isol                 isol                
isolator                  isol                 isol                
isolators                 isol                 isol                
isomagnetic               isomagnet            isomagnet           
isometric                 isometr              isomet              
isomorphous               isomorph             isomorph            
isophot                   isophot              isophot             
isophotes                 isophot              isophot             
isoporic                  isopor               isop                
isothermal                isotherm             isotherm            
isotope                   isotop               isotop              
isotopes                  isotop               isotop              
isotropic                 isotrop              isotrop             
isotropically             isotrop              isotrop             
isotropy                  isotropi             isotrop             
israel                    israel               israel              
issue                     issu                 issu                
issued                    issu                 issu                
issues                    issu                 issu                
istituto                  istituto             istituto            
istray                    istray               istray              
it                        it                   it                  
italian                   italian              it                  
italy                     itali                ita                 
itcing                    itc                  itc                 
item                      item                 item                
items                     item                 item                
iterated                  iter                 it                  
iteration                 iter                 it                  
iterative                 iter                 it                  
ith                       ith                  ith                 
ithaca                    ithaca               ithac               
ither                     ither                ith                 
its                       it                   it                  
itself                    itself               itself              
itt                       itt                  it                  
itv                       itv                  itv                 
iv                        iv                   iv                  
iw                        iw                   iw                  
iwth                      iwth                 iw                  
iz                        iz                   iz                  
j                         j                    j                   
jabalpur                  jabalpur             jabalp              
jacel                     jacel                jacel               
jacket                    jacket               jacket              
jacks                     jack                 jack                
jackson                   jackson              jackson             
jacksons                  jackson              jackson             
jacobi                    jacobi               jacob               
jacobian                  jacobian             jacob               
jacobians                 jacobian             jacob               
jacobis                   jacobi               jacob               
jaffe                     jaff                 jaff                
jahnke                    jahnk                jahnk               
james                     jame                 jam                 
jan                       jan                  jan                 
jancel                    jancel               jancel              
jansky                    janski               jansky              
january                   januari              janu                
japan                     japan                jap                 
japanese                  japanes              japanes             
jason                     jason                jason               
jaumann                   jaumann              jauman              
javans                    javan                jav                 
jeans                     jean                 jean                
jeffreys                  jeffrey              jeffrey             
jelly                     jelli                jel                 
jersey                    jersey               jersey              
jet                       jet                  jet                 
jets                      jet                  jet                 
jitter                    jitter               jit                 
jk                        jk                   jk                  
job                       job                  job                 
jodrell                   jodrel               jodrel              
johannesburg              johannesburg         johannesburg        
johnsen                   johnsen              johns               
johnson                   johnson              johnson             
johnston                  johnston             johnston            
johnstones                johnston             johnston            
joined                    join                 join                
joining                   join                 join                
joint                     joint                joint               
joints                    joint                joint               
jones                     jone                 jon                 
jordan                    jordan               jord                
jornan                    jornan               jorn                
joshi                     joshi                josh                
jot                       jot                  jot                 
joule                     joul                 joul                
joules                    joul                 joul                
journal                   journal              journ               
jovian                    jovian               jov                 
jreisach                  jreisach             jreisach            
juan                      juan                 juan                
jubilee                   jubile               jubl                
juding                    jude                 jud                 
july                      juli                 july                
jump                      jump                 jump                
jumps                     jump                 jump                
junce                     junc                 junt                
junction                  junction             junct               
junctions                 junction             junct               
june                      june                 jun                 
jungfraujoch              jungfraujoch         jungfraujoch        
jupiter                   jupit                jupit               
jupiters                  jupit                jupit               
just                      just                 just                
justifiable               justifi              just                
justification             justif               just                
justified                 justifi              just                
justifies                 justifi              just                
justify                   justifi              just                
justifying                justifi              just                
k                         k                    k                   
kaenel                    kaenel               kaenel              
kaganov                   kaganov              kaganov             
kahan                     kahan                kah                 
kahans                    kahan                kah                 
kaiser                    kaiser               kais                
kakioka                   kakioka              kakiok              
kales                     kale                 kal                 
kallmann                  kallmann             kallman             
kammerloher               kammerloh            kammerloh           
kandiah                   kandiah              kandiah             
kaplan                    kaplan               kapl                
karl                      karl                 karl                
karman                    karman               karm                
karnaugh                  karnaugh             karnaugh            
karnaughs                 karnaugh             karnaugh            
kasemir                   kasemir              kasemir             
kasteleijns               kasteleijn           kasteleijn          
kato                      kato                 kato                
kaufman                   kaufman              kaufm               
kaufmann                  kaufmann             kaufman             
kbr                       kbr                  kbr                 
kc                        kc                   kc                  
kcl                       kcl                  kcl                 
kcs                       kc                   kcs                 
kdp                       kdp                  kdp                 
keep                      keep                 keep                
keeping                   keep                 keep                
keeps                     keep                 keep                
keitel                    keitel               keitel              
keller                    keller               kel                 
kellogg                   kellogg              kellog              
kelman                    kelman               kelm                
kelso                     kelso                kelso               
kelsos                    kelso                kelso               
kelvin                    kelvin               kelvin              
kelvins                   kelvin               kelvin              
kemps                     kemp                 kemp                
kendall                   kendal               kendal              
kennelly                  kennelli             kennel              
kent                      kent                 kent                
kents                     kent                 kent                
keplers                   kepler               kepl                
kept                      kept                 kept                
kerguelen                 kerguelen            kerguel             
kernel                    kernel               kernel              
kerosene                  kerosen              keros               
kerr                      kerr                 ker                 
ket                       ket                  ket                 
kew                       kew                  kew                 
key                       key                  key                 
keyed                     key                  key                 
keying                    key                  key                 
keystron                  keystron             keystron            
kg                        kg                   kg                  
khaikin                   khaikin              khaikin             
kharkov                   kharkov              kharkov             
khartoum                  khartoum             kharto              
khastgir                  khastgir             khastgir            
ki                        ki                   ki                  
kidney                    kidney               kidney              
kiepenheuers              kiepenheu            kiepenheu           
kilburn                   kilburn              kilburn             
kilocycles                kilocycl             kilocyc             
kilogauss                 kilogauss            kilogauss           
kilomegacycle             kilomegacycl         kilomegacyc         
kilometers                kilomet              kilomet             
kilometre                 kilometr             kilomet             
kilometres                kilometr             kilomet             
kiloparsecs               kiloparsec           kiloparsec          
kilovolt                  kilovolt             kilovolt            
kilowatt                  kilowatt             kilowat             
kilowatts                 kilowatt             kilowat             
kind                      kind                 kind                
kinds                     kind                 kind                
kinematic                 kinemat              kinem               
kinematics                kinemat              kinem               
kinetic                   kinet                kinet               
kinetics                  kinet                kinet               
king                      king                 king                
kingdom                   kingdom              kingdom             
kinghele                  kinghel              kinghel             
kirby                     kirbi                kirby               
kirchhoff                 kirchhoff            kirchhoff           
kirchhoffs                kirchhoff            kirchhoff           
kiruna                    kiruna               kirun               
kit                       kit                  kit                 
kjeller                   kjeller              kjel                
klein                     klein                klein               
kleinheubach              kleinheubach         kleinheubach        
kleins                    klein                klein               
kline                     kline                klin                
klinkhamer                klinkham             klinkham            
kluvers                   kluver               kluv                
klystron                  klystron             klystron            
klystrons                 klystron             klystron            
km                        km                   km                  
kmc                       kmc                  kmc                 
kmcs                      kmc                  kmcs                
kms                       km                   kms                 
knife                     knife                knif                
knobs                     knob                 knob                
knowledge                 knowledg             knowledg            
known                     known                known               
koch                      koch                 koch                
kochenburger              kochenburg           kochenburg          
kodaikanal                kodaikan             kodaik              
kodis                     kodi                 kod                 
kodrell                   kodrel               kodrel              
kohlers                   kohler               kohl                
kohn                      kohn                 kohn                
kokabunji                 kokabunji            kokabunj            
kokobunji                 kokobunji            kokobunj            
kokubunji                 kokubunji            kokubunj            
kootwijk                  kootwijk             kootwijk            
kostriza                  kostriza             kostriz             
kr                        kr                   kr                  
kramers                   kramer               kram                
kranendonk                kranendonk           kranendonk          
krassovsky                krassovski           krassovsky          
krebs                     kreb                 kreb                
kroebel                   kroebel              kroebel             
kroebels                  kroebel              kroebel             
kromer                    kromer               krom                
kron                      kron                 kron                
kronig                    kronig               kronig              
krouse                    krous                krous               
krumhansl                 krumhansl            krumhansl           
kryloff                   kryloff              kryloff             
krypton                   krypton              krypton             
krzhizhanovski            krzhizhanovski       krzhizhanovski      
kuhlungsborn              kuhlungsborn         kuhlungsborn        
kundu                     kundu                kundu               
kupfmuller                kupfmul              kupfmul             
kupfmullers               kupfmul              kupfmul             
kurz                      kurz                 kurz                
kv                        kv                   kv                  
kw                        kw                   kw                  
kyoto                     kyoto                kyoto               
l                         l                    l                   
la                        la                   la                  
laboratoire               laboratoir           laboratoir          
laboratories              laboratori           lab                 
laboratory                laboratori           lab                 
laborious                 labori               lab                 
labour                    labour               labo                
labrador                  labrador             labrad              
labroustes                labroust             labroust            
lacal                     lacal                lac                 
lack                      lack                 lack                
lacoste                   lacost               lacost              
lacquer                   lacquer              lacqu               
ladder                    ladder               lad                 
ladders                   ladder               lad                 
laddic                    laddic               lad                 
laden                     laden                lad                 
laffineur                 laffineur            laffin              
lag                       lag                  lag                 
lagged                    lag                  lag                 
lagging                   lag                  lag                 
lagrange                  lagrang              lagrang             
lagranges                 lagrang              lagrang             
lagrangian                lagrangian           lagrang             
lags                      lag                  lag                 
laguerre                  laguerr              laguer              
laid                      laid                 laid                
laine                     lain                 lain                
lake                      lake                 lak                 
lakehurst                 lakehurst            lakehurst           
lakes                     lake                 lak                 
lamb                      lamb                 lamb                
lambert                   lambert              lambert             
lame                      lame                 lam                 
lamin                     lamin                lamin               
lamina                    lamina               lamin               
laminar                   laminar              lamin               
laminated                 lamin                lamin               
laminates                 lamin                lamin               
lamination                lamin                lamin               
laminations               lamin                lamin               
lamp                      lamp                 lamp                
lamps                     lamp                 lamp                
land                      land                 land                
landau                    landau               landau              
landauer                  landauer             landau              
landmark                  landmark             landmark            
landolt                   landolt              landolt             
landovitz                 landovitz            landovitz           
landsberg                 landsberg            landsberg           
langevin                  langevin             langevin            
langevins                 langevin             langevin            
langmuir                  langmuir             langmuir            
langmuirs                 langmuir             langmuir            
language                  languag              langu               
lanthanum                 lanthanum            lanthan             
lanzalotti                lanzalotti           lanzalott           
laplace                   laplac               laplac              
laplaces                  laplac               laplac              
laplacian                 laplacian            laplac              
lapping                   lap                  lap                 
lapse                     laps                 laps                
large                     larg                 larg                
largely                   larg                 larg                
larger                    larger               larg                
largest                   largest              largest             
larmor                    larmor               larm                
larte                     lart                 lart                
las                       la                   las                 
laser                     laser                las                 
lasers                    laser                las                 
lasham                    lasham               lasham              
lassice                   lassic               lass                
last                      last                 last                
lasted                    last                 last                
lasting                   last                 last                
latch                     latch                latch               
latching                  latch                latch               
late                      late                 lat                 
latent                    latent               lat                 
later                     later                lat                 
lateral                   later                lat                 
latest                    latest               latest              
lati                      lati                 lat                 
latitude                  latitud              latitud             
latitudes                 latitud              latitud             
latitudinal               latitudin            latitudin           
latitutde                 latitutd             latitutd            
latt                      latt                 lat                 
latter                    latter               lat                 
lattice                   lattic               lat                 
lattices                  lattic               lat                 
launch                    launch               launch              
launched                  launch               launch              
launching                 launch               launch              
launchings                launch               launch              
laurent                   laurent              laur                
laurents                  laurent              laur                
lavagnino                 lavagnino            lavagnino           
lave                      lave                 lav                 
law                       law                  law                 
laws                      law                  law                 
lax                       lax                  lax                 
lay                       lay                  lay                 
layer                     layer                lay                 
layered                   layer                lay                 
layers                    layer                lay                 
layery                    layeri               layery              
laying                    lay                  lay                 
layout                    layout               layout              
lb                        lb                   lb                  
lc                        lc                   lc                  
lcr                       lcr                  lcr                 
le                        le                   le                  
lead                      lead                 lead                
leader                    leader               lead                
leaders                   leader               lead                
leading                   lead                 lead                
leads                     lead                 lead                
leak                      leak                 leak                
leakage                   leakag               leak                
leakages                  leakag               leak                
leaking                   leak                 leak                
leaks                     leak                 leak                
leapfrog                  leapfrog             leapfrog            
learning                  learn                learn               
least                     least                least               
leastas                   leasta               leasta              
leaves                    leav                 leav                
leaving                   leav                 leav                
leavy                     leavi                leavy               
lebedev                   lebedev              lebedev             
lebenbaum                 lebenbaum            lebenba             
lecher                    lecher               lech                
leclanche                 leclanch             leclanch            
lectr                     lectr                lect                
lecture                   lectur               lect                
